name,label,type,name_new,construct,self_reported,longitudinal,unit,include
panas,Panas score; higher values mean more negative affect,psychological,panas,affect,TRUE,TRUE,scale,
perceivedstress,Perceived stress; higher values mean more perceived stress,psychological,perceivedstress,stress,TRUE,TRUE,scale ,TRUE
rejection,Negative social exchange; higher values mean more rejection experienced,psychological,rejection,negative_social,TRUE,TRUE,scale,
unsympathetic,Negative social exchange; higher values mean more unsympathetic social treatment,psychological,unsympathetic,negative_social,TRUE,TRUE,scale ,
dcfdx,Clinical dx summary,clinical,clinical_summary,cognition,FALSE,TRUE,category,
dementia,Dementia diagnosis,cognitive,dementia,dementia,FALSE,TRUE,"0, 1",TRUE
r_stroke,Clinical stroke dx,clinical,r_stroke,stroke,FALSE,TRUE,category,TRUE
cogn_ep,Calculated domain score-episodic memory,cognitive,cogn_ep,episodic memory,FALSE,TRUE,composite,TRUE
cogn_global,Calculated domain score- Global ,cognitive,cogn_global,global cognition,FALSE,TRUE,composite,TRUE
cogn_po,Calculated domain score - perceptual orientation,cognitive,cogn_po,perceptual orientation,FALSE,TRUE,composite,TRUE
cogn_ps,Calculated domain score - perceptual speed,cognitive,cogn_ps,perceptual speed,FALSE,TRUE,composite,TRUE
cogn_se,Calculated domain score - semantic memory,cognitive,cogn_se,semantic memory,FALSE,TRUE,composite,TRUE
cogn_wo,Calculated domain score - working memory,cognitive,cogn_wo,working memory,FALSE,TRUE,composite,TRUE
cts_bname,Boston naming - 2014,cognitive,cts_bname,semantic memory,FALSE,TRUE,0 to 15,TRUE
cts_catflu,Category fluency - 2014,cognitive,catfluency,semantic memory,FALSE,TRUE,0 to 75,TRUE
cts_db,Digits backwards - 2014,cognitive,dsb,working memory,FALSE,TRUE,0 to 12,TRUE
cts_delay,Logical memory IIa - 2014,cognitive,cts_delay,episodic memory,FALSE,TRUE,0 to 25,
cts_df,Digits forwards - 2014,cognitive,dsf,working memory,FALSE,TRUE,0 to 12,TRUE
cts_doperf,Digit ordering - 2014,cognitive,cts_doperf,working memory,FALSE,TRUE,0 to 14,
cts_ebdr,East Boston story - delayed recall - 2014,cognitive,cts_ebdr,episodic memory,FALSE,TRUE,0 to 12,
cts_ebmt,East Boston story - immediate - 2014,cognitive,cts_ebmt,episodic memory,FALSE,TRUE,0 to 12,
cts_idea,Complex ideas - 2014,cognitive,cts_idea,verbal comprehension,FALSE,TRUE,0 to 8,
cts_lopair,Line orientation - 2014,cognitive,cts_lopair,perceptual orientation,FALSE,TRUE,0 to 15,
cts_mmse30,MMSE - 2014,cognitive,mmse,dementia,TRUE,TRUE,0 to 30,TRUE
cts_nccrtd,Number comparison - 2014,cognitive,cts_nccrtd,perceptual speed,FALSE,TRUE,0 to 48,
cts_pmat,Progressive Matrices - 2014,cognitive,cts_pmat,perceptual orientation,FALSE,TRUE,0 to 16,
cts_read_nart,Reading test-NART-2014,cognitive,cts_read_nart,semantic memory,FALSE,TRUE,0 to 10,
cts_read_wrat,Reading test - WRAT - 2014,cognitive,cts_read_wrat,semantic memory,FALSE,TRUE,0 to 15,
cts_sdmt,Symbol digit modalitities - 2014,cognitive,symbol_digit_mod,perceptual speed,FALSE,TRUE,0 to 110,TRUE
cts_story,Logical memory Ia - immediate - 2014,cognitive,cts_story,episodic memory,FALSE,TRUE,0 to 25,
cts_wli,Word list I- immediate- 2014,cognitive,cts_wli,episodic memory,FALSE,TRUE,0 to 30,
cts_wlii,Word list II - delayed - 2014,cognitive,cts_wlii,episodic memory,FALSE,TRUE,0 to 10,
cts_wliii,Word list III - recognition - 2014,cognitive,cts_wliii,episodic memory,FALSE,TRUE,o to 10,
age_at_visit,Age at cycle - fractional,demographic,age_at_visit,age,FALSE,TRUE,year,TRUE
iadlsum,Instrumental activities of daily liviing,physical,iadlsum,physact,TRUE,TRUE,scale,TRUE
katzsum,Katz measure of disability,physical,katzsum,physcap,TRUE,TRUE,scale,
rosbscl,Rosow-Breslau scale,physical,rosbscl,physcap,TRUE,TRUE,scale,
rosbsum,Rosow-Breslau scale,physical,rosbsum,physcap,TRUE,TRUE,scale,
vision,Vision acuity,physical,vision,physcap,FALSE,TRUE,scale,
visionlog,Visual acuity,physical,visionlog,physcap,FALSE,TRUE,scale,
fev,forced expiratory volume,physical,fev,physcap,FALSE,TRUE,liters,
mep,maximal expiratory pressure,physical,mep,physcap,FALSE,TRUE,cm H20,
mip,maximal inspiratory pressure,physical,mip,physcap,FALSE,TRUE,cm H20,
pvc,pulmonary vital capacity,physical,pvc,physcap,FALSE,TRUE,liters,
bun,Blood urea nitrogen,clinical,bun,,,,,
ca,Calcium,clinical,ca,,,,,
chlstrl,Cholesterol,clinical,cholesterol,allostatic_load,FALSE,TRUE,blood level; mg/dl,TRUE
cl,Chloride,clinical,cl,,,TRUE,,
co2,Carbon Dioxide,clinical,co2,,,TRUE,,
crn,Creatinine,clinical,creatine,allostatic_load,FALSE,TRUE,blood level,TRUE
fasting,Whether blood was collected on fasting participant,clinical,fasting,,,TRUE,,
glucose,Glucose,clinical,glucose,allostatic_load,FALSE,TRUE,blood level,TRUE
hba1c,Hemoglobin A1c,clinical,hemoglobin,allostatic_load,FALSE,TRUE,blood level,TRUE
hdlchlstrl,HDL cholesterol,clinical,hdl,allostatic_load,FALSE,TRUE,blood level,TRUE
hdlratio,HDL ratio,clinical,hdlratio,allostatic_load,FALSE,TRUE,blood level,TRUE
k,Potassium,clinical,k,,,TRUE,,
ldlchlstrl,LDL cholesterol,clinical,ldl,allostatic_load,FALSE,TRUE,blood level,TRUE
na,Sodium,clinical,na,,,TRUE,,
alcohol_g,Grams of alcohol per day,substance,alcohol_g,alcohol,TRUE,TRUE,grams,
bmi,Body mass index,physical,bmi,allostatic_load,FALSE,TRUE,kg/msq,TRUE
htm,Height(meters),physical,htm,physique,FALSE,TRUE,meters,
phys5itemsum,"Summary of physical activity
measure (in hours/ week spend in 5 different categories of PA) ",physical,physical_activity,physact,TRUE,TRUE,scale,TRUE
wtkg,Weight (kg),physical,wtkg,physique,FALSE,TRUE,kilos,
bp11,Blood pressure measurement- sitting - trial 1,clinical,bp11,hypertension,FALSE,TRUE,,
bp2,Blood pressure measurement- sitting - trial 2,clinical,bp2,hypertension,FALSE,TRUE,,
bp3,Hx of Meds for HTN,clinical,bp3,hypertension,TRUE,TRUE,,
bp31,Blood pressure measurement- standing,clinical,bp31,hypertension,FALSE,TRUE,,
hypertension_cum,Medical conditions - hypertension - cumulative,clinical,hypertension_cum,hypertension,TRUE,TRUE,,
dm_cum,Medical history - diabetes - cumulative,clinical,dm_cum,diabetes,TRUE,TRUE,,
thyroid_cum,Medical Conditions - thyroid disease - cumulative,clinical,thyroid_cum,,,,,
chf_cum,"Medical Conditions - congestive heart failure -
cumulative",clinical,chf_cum,cardio,TRUE,TRUE,category,
claudication_cum,Medical conditions - claudication -cumulative,clinical,claudication_cum,,,,,
heart_cum,Medical Conditions - heart - cumulative,clinical,heart_cum,,,,,
stroke_cum,Clinical Diagnoses - Stroke - cumulative,clinical,stroke_cum,stroke,FALSE,TRUE,category,
vasc_3dis_sum,"Vascular disease burden (3 items w/o chf)
ROS/MAP/MARS",clinical,vasc_3dis_sum,,,,,
vasc_4dis_sum,"Vascular disease burden (4 items) - MAP/MARS
only",clinical,vasc_4dis_sum,,,,,
vasc_risks_sum,Vascular disease risk factors,clinical,vasc_risks_sum,,,,,
gait_speed,Gait Speed - MAP,physical,gait_speed,physcap,FALSE,TRUE,min/sec,
gripavg,Extremity strength,physical,gripavg,physcap,FALSE,TRUE,lbs,
